face_id,node_ids,adjacent_element_id,adjacent_soil_id,adjacent_material_id,boundary_type
2634,5580 5980 5981 5581,4895,8,mat_soil_008,y_max
2635,5581 5981 5982 5582,4896,8,mat_soil_008,y_max
2636,5582 5982 5983 5583,4897,8,mat_soil_008,y_max
2637,5583 5983 5984 5584,4898,8,mat_soil_008,y_max
2638,5584 5984 5985 5585,4899,8,mat_soil_008,y_max
2639,5585 5985 5986 5586,4900,8,mat_soil_008,y_max
2640,5586 5986 5987 5587,4901,8,mat_soil_008,y_max
2641,5587 5987 5988 5588,4902,8,mat_soil_008,y_max
2642,5588 5988 5989 5589,4903,8,mat_soil_008,y_max
2643,5589 5989 5990 5590,4904,8,mat_soil_008,y_max
2644,5590 5990 5991 5591,4905,8,mat_soil_008,y_max
2645,5591 5991 5992 5592,4906,8,mat_soil_008,y_max
2646,5592 5992 5993 5593,4907,8,mat_soil_008,y_max
2647,5593 5993 5994 5594,4908,8,mat_soil_008,y_max
2648,5594 5994 5995 5595,4909,8,mat_soil_008,y_max
2649,5595 5995 5996 5596,4910,8,mat_soil_008,y_max
2650,5596 5996 5997 5597,4911,8,mat_soil_008,y_max
2651,5597 5997 5998 5598,4912,8,mat_soil_008,y_max
2652,5598 5998 5999 5599,4913,8,mat_soil_008,y_max
2653,5559 5599 5999 5959,4913,8,mat_soil_008,x_max
2654,5600 5601 6001 6000,4914,8,mat_soil_008,y_min
2655,5600 6000 6040 5640,4914,8,mat_soil_008,x_min
2656,5601 5602 6002 6001,4915,8,mat_soil_008,y_min
2657,5602 5603 6003 6002,4916,8,mat_soil_008,y_min
2658,5603 5604 6004 6003,4917,8,mat_soil_008,y_min
2659,5604 5605 6005 6004,4918,8,mat_soil_008,y_min
2660,5605 5606 6006 6005,4919,8,mat_soil_008,y_min
2661,5606 5607 6007 6006,4920,8,mat_soil_008,y_min
2662,5607 5608 6008 6007,4921,8,mat_soil_008,y_min
2663,5608 5609 6009 6008,4922,8,mat_soil_008,y_min
2664,5609 5610 6010 6009,4923,8,mat_soil_008,y_min
2665,5610 5611 6011 6010,4924,8,mat_soil_008,y_min
2666,5611 5612 6012 6011,4925,8,mat_soil_008,y_min
2667,5612 5613 6013 6012,4926,8,mat_soil_008,y_min
2668,5613 5614 6014 6013,4927,8,mat_soil_008,y_min
2669,5614 5615 6015 6014,4928,8,mat_soil_008,y_min
2670,5615 5616 6016 6015,4929,8,mat_soil_008,y_min
2671,5616 5617 6017 6016,4930,8,mat_soil_008,y_min
2672,5617 5618 6018 6017,4931,8,mat_soil_008,y_min
2673,5618 5619 6019 6018,4932,8,mat_soil_008,y_min
2674,5619 5620 6020 6019,4933,8,mat_soil_008,y_min
2675,5620 5621 6021 6020,4934,8,mat_soil_008,y_min
2676,5621 5622 6022 6021,4935,8,mat_soil_008,y_min
2677,5622 5623 6023 6022,4936,8,mat_soil_008,y_min
2678,5623 5624 6024 6023,4937,8,mat_soil_008,y_min
2679,5624 5625 6025 6024,4938,8,mat_soil_008,y_min
