node_id,x,y,z
0,-1.000526315789474,-0.9745297812499999,-69.54013157894738
1,3.0015789473684213,-0.9745297812499999,-69.54013157894738
2,7.003684210526316,-0.9745297812499999,-69.54013157894738
3,11.00578947368421,-0.9745297812499999,-69.54013157894738
4,15.007894736842104,-0.9745297812499999,-69.54013157894738
5,19.009999999999998,-0.9745297812499999,-69.54013157894738
6,23.012105263157896,-0.9745297812499999,-69.54013157894738
7,27.014210526315793,-0.9745297812499999,-69.54013157894738
8,31.016315789473687,-0.9745297812499999,-69.54013157894738
9,35.01842105263158,-0.9745297812499999,-69.54013157894738
10,39.020526315789475,-0.9745297812499999,-69.54013157894738
11,43.02263157894737,-0.9745297812499999,-69.54013157894738
12,47.02473684210527,-0.9745297812499999,-69.54013157894738
13,51.02684210526316,-0.9745297812499999,-69.54013157894738
14,55.02894736842106,-0.9745297812499999,-69.54013157894738
15,59.031052631578945,-0.9745297812499999,-69.54013157894738
16,63.033157894736846,-0.9745297812499999,-69.54013157894738
17,67.03526315789475,-0.9745297812499999,-69.54013157894738
18,71.03736842105263,-0.9745297812499999,-69.54013157894738
19,75.03947368421052,-0.9745297812499999,-69.54013157894738
20,79.04157894736842,-0.9745297812499999,-69.54013157894738
21,83.04368421052632,-0.9745297812499999,-69.54013157894738
22,87.04578947368421,-0.9745297812499999,-69.54013157894738
23,91.04789473684211,-0.9745297812499999,-69.54013157894738
24,95.05000000000001,-0.9745297812499999,-69.54013157894738
25,99.0521052631579,-0.9745297812499999,-69.54013157894738
26,103.05421052631579,-0.9745297812499999,-69.54013157894738
27,107.05631578947369,-0.9745297812499999,-69.54013157894738
28,111.05842105263159,-0.9745297812499999,-69.54013157894738
29,115.06052631578947,-0.9745297812499999,-69.54013157894738
30,119.06263157894736,-0.9745297812499999,-69.54013157894738
31,123.06473684210528,-0.9745297812499999,-69.54013157894738
32,127.06684210526316,-0.9745297812499999,-69.54013157894738
33,131.06894736842105,-0.9745297812499999,-69.54013157894738
34,135.07105263157894,-0.9745297812499999,-69.54013157894738
35,139.07315789473682,-0.9745297812499999,-69.54013157894738
36,143.07526315789474,-0.9745297812499999,-69.54013157894738
