face_id,node_ids,left_element_id,right_element_id,left_soil_id,right_soil_id,left_material_id,right_material_id
3091,7361 7362 7402 7401,6124,6475,8,6,mat_soil_008,mat_soil_006
3092,7362 7363 7403 7402,6125,6476,8,6,mat_soil_008,mat_soil_006
3093,7363 7364 7404 7403,6126,6477,8,6,mat_soil_008,mat_soil_006
3094,7372 7373 7413 7412,6135,6486,8,6,mat_soil_008,mat_soil_006
3095,7373 7374 7414 7413,6136,6487,8,6,mat_soil_008,mat_soil_006
3096,7374 7375 7415 7414,6137,6488,8,6,mat_soil_008,mat_soil_006
3097,7375 7376 7416 7415,6138,6489,8,6,mat_soil_008,mat_soil_006
3098,7376 7377 7417 7416,6139,6490,8,6,mat_soil_008,mat_soil_006
3099,7377 7378 7418 7417,6140,6491,8,6,mat_soil_008,mat_soil_006
3100,7378 7379 7419 7418,6141,6492,8,6,mat_soil_008,mat_soil_006
3101,7387 7388 7428 7427,6150,6501,8,6,mat_soil_008,mat_soil_006
3102,7388 7389 7429 7428,6151,6502,8,6,mat_soil_008,mat_soil_006
3103,7389 7390 7430 7429,6152,6503,8,6,mat_soil_008,mat_soil_006
3104,7390 7391 7431 7430,6153,6504,8,6,mat_soil_008,mat_soil_006
3105,7391 7392 7432 7431,6154,6505,8,6,mat_soil_008,mat_soil_006
3106,7392 7393 7433 7432,6155,6506,8,6,mat_soil_008,mat_soil_006
3107,7393 7394 7434 7433,6156,6507,8,6,mat_soil_008,mat_soil_006
3108,7394 7395 7435 7434,6157,6508,8,6,mat_soil_008,mat_soil_006
3109,7395 7396 7436 7435,6158,6509,8,6,mat_soil_008,mat_soil_006
3110,7396 7397 7437 7436,6159,6510,8,6,mat_soil_008,mat_soil_006
3111,7397 7398 7438 7437,6160,6511,8,6,mat_soil_008,mat_soil_006
3113,7400 7401 7441 7440,6162,6513,8,6,mat_soil_008,mat_soil_006
3115,7401 7402 7442 7441,6163,6514,8,6,mat_soil_008,mat_soil_006
3116,7402 7403 7443 7442,6164,6515,8,6,mat_soil_008,mat_soil_006
3117,7411 7412 7452 7451,6173,6524,8,6,mat_soil_008,mat_soil_006
3118,7412 7413 7453 7452,6174,6525,8,6,mat_soil_008,mat_soil_006
3119,7413 7414 7454 7453,6175,6526,8,6,mat_soil_008,mat_soil_006
3120,7414 7415 7455 7454,6176,6527,8,6,mat_soil_008,mat_soil_006
3121,7415 7416 7456 7455,6177,6528,8,6,mat_soil_008,mat_soil_006
3122,7416 7417 7457 7456,6178,6529,8,6,mat_soil_008,mat_soil_006
3123,7417 7418 7458 7457,6179,6530,8,6,mat_soil_008,mat_soil_006
3124,7418 7419 7459 7458,6180,6531,8,6,mat_soil_008,mat_soil_006
3125,7419 7420 7460 7459,6181,6532,8,6,mat_soil_008,mat_soil_006
3126,7420 7421 7461 7460,6182,6533,8,6,mat_soil_008,mat_soil_006
3127,7421 7422 7462 7461,6183,6534,8,6,mat_soil_008,mat_soil_006
3128,7427 7428 7468 7467,6189,6540,8,6,mat_soil_008,mat_soil_006
3129,7428 7429 7469 7468,6190,6541,8,6,mat_soil_008,mat_soil_006
3130,7429 7430 7470 7469,6191,6542,8,6,mat_soil_008,mat_soil_006
3131,7430 7431 7471 7470,6192,6543,8,6,mat_soil_008,mat_soil_006
3132,7431 7432 7472 7471,6193,6544,8,6,mat_soil_008,mat_soil_006
3133,7432 7433 7473 7472,6194,6545,8,6,mat_soil_008,mat_soil_006
3134,7433 7434 7474 7473,6195,6546,8,6,mat_soil_008,mat_soil_006
3135,7434 7435 7475 7474,6196,6547,8,6,mat_soil_008,mat_soil_006
3136,7435 7436 7476 7475,6197,6548,8,6,mat_soil_008,mat_soil_006
3137,7436 7437 7477 7476,6198,6549,8,6,mat_soil_008,mat_soil_006
3138,7437 7438 7478 7477,6199,6550,8,6,mat_soil_008,mat_soil_006
3139,7438 7439 7479 7478,6200,6551,8,6,mat_soil_008,mat_soil_006
3141,7440 7441 7481 7480,6201,6552,8,6,mat_soil_008,mat_soil_006
3143,7441 7442 7482 7481,6202,6553,8,6,mat_soil_008,mat_soil_006
3144,7451 7452 7492 7491,6212,6563,8,6,mat_soil_008,mat_soil_006
3145,7452 7453 7493 7492,6213,6564,8,6,mat_soil_008,mat_soil_006
3146,7453 7454 7494 7493,6214,6565,8,6,mat_soil_008,mat_soil_006
3147,7454 7455 7495 7494,6215,6566,8,6,mat_soil_008,mat_soil_006
3148,7455 7456 7496 7495,6216,6567,8,6,mat_soil_008,mat_soil_006
3149,7456 7457 7497 7496,6217,6568,8,6,mat_soil_008,mat_soil_006
3150,7457 7458 7498 7497,6218,6569,8,6,mat_soil_008,mat_soil_006
3151,7458 7459 7499 7498,6219,6570,8,6,mat_soil_008,mat_soil_006
3152,7459 7460 7500 7499,6220,6571,8,6,mat_soil_008,mat_soil_006
3153,7460 7461 7501 7500,6221,6572,8,6,mat_soil_008,mat_soil_006
3154,7461 7462 7502 7501,6222,6573,8,6,mat_soil_008,mat_soil_006
3155,7462 7463 7503 7502,6223,6574,8,6,mat_soil_008,mat_soil_006
3156,7463 7464 7504 7503,6224,6575,8,6,mat_soil_008,mat_soil_006
3157,7468 7469 7509 7508,6229,6580,8,6,mat_soil_008,mat_soil_006
3158,7469 7470 7510 7509,6230,6581,8,6,mat_soil_008,mat_soil_006
3159,7470 7471 7511 7510,6231,6582,8,6,mat_soil_008,mat_soil_006
3160,7471 7472 7512 7511,6232,6583,8,6,mat_soil_008,mat_soil_006
3161,7472 7473 7513 7512,6233,6584,8,6,mat_soil_008,mat_soil_006
3162,7473 7474 7514 7513,6234,6585,8,6,mat_soil_008,mat_soil_006
